,DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,OPINION
0,2019-01-01,9,4,very bad
1,2019-01-02,8,5,very bad
2,2019-01-03,6,0,very bad
3,2019-01-04,5,-1,very bad
4,2019-01-05,6,-1,very bad
5,2019-01-06,5,2,very bad
6,2019-01-07,10,4,very bad
7,2019-01-08,10,6,bad
8,2019-01-09,7,5,very bad
9,2019-01-10,7,1,very bad
10,2019-01-11,10,2,very bad
11,2019-01-12,9,3,very bad
12,2019-01-13,10,7,bad
13,2019-01-14,10,8,bad
14,2019-01-15,9,4,very bad
15,2019-01-16,8,1,very bad
16,2019-01-17,9,5,very bad
17,2019-01-18,7,1,very bad
18,2019-01-19,11,6,bad
19,2019-01-20,7,4,very bad
20,2019-01-21,7,0,very bad
21,2019-01-22,8,5,very bad
22,2019-01-23,7,3,very bad
23,2019-01-24,7,0,very bad
24,2019-01-25,11,8,bad
25,2019-01-26,10,8,bad
26,2019-01-27,8,7,very bad
27,2019-01-28,8,4,very bad
28,2019-01-29,9,5,very bad
29,2019-01-30,7,3,very bad
30,2019-01-31,8,2,very bad
31,2019-02-01,9,6,bad
32,2019-02-02,7,2,very bad
33,2019-02-03,8,0,very bad
34,2019-02-04,7,5,very bad
35,2019-02-05,10,4,very bad
36,2019-02-06,12,10,bad
37,2019-02-07,11,9,bad
38,2019-02-08,11,8,bad
39,2019-02-09,12,9,bad
40,2019-02-10,11,8,very bad
41,2019-02-11,10,5,very bad
42,2019-02-12,12,3,very bad
43,2019-02-13,10,2,very bad
44,2019-02-14,13,2,not good not bad
45,2019-02-15,15,6,not good not bad
46,2019-02-16,14,6,not good not bad
47,2019-02-17,15,7,not good not bad
48,2019-02-18,12,5,very bad
49,2019-02-19,12,5,very bad
50,2019-02-20,13,4,not good not bad
51,2019-02-21,17,6,not good not bad
52,2019-02-22,17,7,not good not bad
53,2019-02-23,18,8,good
54,2019-02-24,14,5,not good not bad
55,2019-02-25,15,5,not good not bad
56,2019-02-26,19,7,good
57,2019-02-27,20,9,good
58,2019-02-28,13,9,bad
59,2019-03-01,14,7,not good not bad
60,2019-03-02,13,6,not good not bad
61,2019-03-03,14,9,bad
62,2019-03-04,11,7,bad
63,2019-03-05,13,7,not good not bad
64,2019-03-06,12,9,very bad
65,2019-03-07,11,6,bad
66,2019-03-08,12,5,very bad
67,2019-03-09,13,8,bad
68,2019-03-10,12,8,bad
69,2019-03-11,11,5,very bad
70,2019-03-12,11,4,very bad
71,2019-03-13,10,6,bad
72,2019-03-14,11,6,bad
73,2019-03-15,13,10,bad
74,2019-03-16,11,10,bad
75,2019-03-17,11,5,very bad
76,2019-03-18,11,4,very bad
77,2019-03-19,12,3,very bad
78,2019-03-20,13,4,not good not bad
79,2019-03-21,15,5,not good not bad
80,2019-03-22,18,6,good
81,2019-03-23,17,7,not good not bad
82,2019-03-24,13,5,not good not bad
83,2019-03-25,12,3,very bad
84,2019-03-26,12,1,very bad
85,2019-03-27,13,2,not good not bad
86,2019-03-28,14,3,not good not bad
87,2019-03-29,16,4,not good not bad
88,2019-03-30,17,6,not good not bad
89,2019-03-31,19,7,good
90,2019-04-01,18,6,good
91,2019-04-02,12,6,bad
92,2019-04-03,10,3,very bad
93,2019-04-04,10,1,very bad
94,2019-04-05,10,5,very bad
95,2019-04-06,10,4,very bad
96,2019-04-07,14,7,bad
97,2019-04-08,12,5,very bad
98,2019-04-09,16,6,not good not bad
99,2019-04-10,14,5,not good not bad
100,2019-04-11,14,6,not good not bad
101,2019-04-12,14,2,not good not bad
102,2019-04-13,12,2,very bad
103,2019-04-14,9,4,very bad
104,2019-04-15,14,4,not good not bad
105,2019-04-16,15,8,not good not bad
106,2019-04-17,19,7,good
107,2019-04-18,21,9,good
108,2019-04-19,24,12,good
109,2019-04-20,21,11,good
110,2019-04-21,21,11,good
111,2019-04-22,19,10,not good not bad
112,2019-04-23,18,11,bad
113,2019-04-24,14,9,very bad
114,2019-04-25,13,7,bad
115,2019-04-26,14,6,not good not bad
116,2019-04-27,13,7,bad
117,2019-04-28,12,6,bad
118,2019-04-29,16,6,bad
119,2019-04-30,18,6,good
120,2019-05-01,17,9,not good not bad
121,2019-05-02,15,7,bad
122,2019-05-03,15,6,bad
123,2019-05-04,11,5,very bad
124,2019-05-05,12,2,very bad
125,2019-05-06,15,3,not good not bad
126,2019-05-07,14,6,not good not bad
127,2019-05-08,15,9,very bad
128,2019-05-09,15,9,bad
129,2019-05-10,15,8,bad
130,2019-05-11,16,10,not good not bad
131,2019-05-12,16,7,not good not bad
132,2019-05-13,16,6,not good not bad
133,2019-05-14,18,8,good
134,2019-05-15,18,9,good
135,2019-05-16,17,8,not good not bad
136,2019-05-17,17,10,not good not bad
137,2019-05-18,14,10,bad
138,2019-05-19,17,8,bad
139,2019-05-20,18,8,bad
140,2019-05-21,20,8,good
141,2019-05-22,21,11,good
142,2019-05-23,21,13,good
143,2019-05-24,20,10,good
144,2019-05-25,19,10,not good not bad
145,2019-05-26,17,11,bad
146,2019-05-27,19,13,bad
147,2019-05-28,15,9,not good not bad
148,2019-05-29,15,8,not good not bad
149,2019-05-30,20,11,not good not bad
150,2019-05-31,25,11,good
151,2019-06-01,29,16,very good
152,2019-06-02,23,15,good
153,2019-06-03,20,14,good
154,2019-06-04,19,13,bad
155,2019-06-05,16,10,not good not bad
156,2019-06-06,18,9,good
157,2019-06-07,15,13,very bad
158,2019-06-08,18,11,not good not bad
159,2019-06-09,16,10,not good not bad
160,2019-06-10,17,9,not good not bad
161,2019-06-11,15,7,bad
162,2019-06-12,16,8,bad
163,2019-06-13,18,10,not good not bad
164,2019-06-14,19,10,good
165,2019-06-15,18,10,not good not bad
166,2019-06-16,19,13,good
167,2019-06-17,25,10,good
168,2019-06-18,28,17,good
169,2019-06-19,20,14,not good not bad
170,2019-06-20,20,12,good
171,2019-06-21,20,10,good
172,2019-06-22,23,11,good
173,2019-06-23,27,15,good
174,2019-06-24,23,16,bad
175,2019-06-25,26,15,good
176,2019-06-26,31,19,good
177,2019-06-27,34,23,not good not bad
178,2019-06-28,34,25,not good not bad
179,2019-06-29,32,18,good
180,2019-06-30,26,16,good
181,2019-07-01,24,15,good
182,2019-07-02,25,11,good
183,2019-07-03,26,15,good
184,2019-07-04,28,16,good
185,2019-07-05,30,17,good
186,2019-07-06,31,18,bad
187,2019-07-07,28,16,good
188,2019-07-08,27,15,good
189,2019-07-09,25,14,good
190,2019-07-10,28,15,good
191,2019-07-11,26,18,good
192,2019-07-12,26,17,bad
193,2019-07-13,27,13,good
194,2019-07-14,26,15,good
195,2019-07-15,26,13,good
196,2019-07-16,29,14,good
197,2019-07-17,27,15,very good
198,2019-07-18,22,13,not good not bad
199,2019-07-19,26,14,not good not bad
200,2019-07-20,25,16,not good not bad
201,2019-07-21,26,15,good
202,2019-07-22,33,16,very good
203,2019-07-23,39,21,not good not bad
204,2019-07-24,33,19,good
205,2019-07-25,32,23,good
206,2019-07-26,22,10,very bad
207,2019-07-27,23,14,not good not bad
208,2019-07-28,23,12,good
209,2019-07-29,24,13,good
210,2019-07-30,21,15,bad
211,2019-07-31,23,14,good
212,2019-08-01,27,14,good
213,2019-08-02,29,15,very good
214,2019-08-03,29,17,good
215,2019-08-04,26,16,good
216,2019-08-05,25,16,not good not bad
217,2019-08-06,23,17,bad
218,2019-08-07,25,15,good
219,2019-08-08,28,15,not good not bad
220,2019-08-09,23,19,good
221,2019-08-10,23,15,not good not bad
222,2019-08-11,23,14,good
223,2019-08-12,22,13,bad
224,2019-08-13,22,10,not good not bad
225,2019-08-14,20,13,bad
226,2019-08-15,22,15,not good not bad
227,2019-08-16,22,14,good
228,2019-08-17,19,18,bad
229,2019-08-18,21,14,not good not bad
230,2019-08-19,21,13,not good not bad
231,2019-08-20,23,12,good
232,2019-08-21,26,12,not good not bad
233,2019-08-22,28,14,good
234,2019-08-23,30,15,good
235,2019-08-24,33,18,good
236,2019-08-25,30,16,good
237,2019-08-26,33,17,good
238,2019-08-27,29,19,good
239,2019-08-28,24,16,bad
240,2019-08-29,25,15,not good not bad
241,2019-08-30,30,14,not good not bad
242,2019-08-31,23,15,good
243,2019-09-01,23,13,good
244,2019-09-02,24,10,good
245,2019-09-03,26,11,good
246,2019-09-04,20,13,good
247,2019-09-05,19,10,good
248,2019-09-06,23,7,good
249,2019-09-07,22,12,good
250,2019-09-08,21,9,good
251,2019-09-09,17,10,not good not bad
252,2019-09-10,22,10,good
253,2019-09-11,22,11,good
254,2019-09-12,24,14,good
255,2019-09-13,28,14,good
256,2019-09-14,29,16,good
257,2019-09-15,31,16,good
258,2019-09-16,21,15,good
259,2019-09-17,27,13,good
260,2019-09-18,23,12,good
261,2019-09-19,23,11,good
262,2019-09-20,27,11,good
263,2019-09-21,28,17,good
264,2019-09-22,21,15,bad
265,2019-09-23,20,13,not good not bad
266,2019-09-24,20,15,very bad
267,2019-09-25,17,14,bad
268,2019-09-26,19,16,bad
269,2019-09-27,19,14,bad
270,2019-09-28,19,13,bad
271,2019-09-29,20,13,bad
272,2019-09-30,21,12,bad
273,2019-10-01,19,14,bad
274,2019-10-02,19,11,bad
275,2019-10-03,19,9,good
276,2019-10-04,17,13,bad
277,2019-10-05,18,13,bad
278,2019-10-06,18,12,good
279,2019-10-07,14,5,very bad
280,2019-10-08,18,12,bad
281,2019-10-09,16,12,not good not bad
282,2019-10-10,18,12,not good not bad
283,2019-10-11,20,12,not good not bad
284,2019-10-12,21,13,good
285,2019-10-13,20,15,bad
286,2019-10-14,20,13,bad
287,2019-10-15,16,10,bad
288,2019-10-16,16,12,bad
289,2019-10-17,17,10,not good not bad
290,2019-10-18,16,13,bad
291,2019-10-19,16,12,bad
292,2019-10-20,15,11,bad
293,2019-10-21,16,8,not good not bad
294,2019-10-22,16,8,not good not bad
295,2019-10-23,15,12,bad
296,2019-10-24,14,12,bad
297,2019-10-25,18,11,not good not bad
298,2019-10-26,19,12,good
299,2019-10-27,15,9,bad
300,2019-10-28,12,9,bad
301,2019-10-29,14,9,bad
302,2019-10-30,17,9,bad
303,2019-10-31,16,13,bad
304,2019-11-01,17,12,bad
305,2019-11-02,14,11,bad
306,2019-11-03,14,8,very bad
307,2019-11-04,13,8,bad
308,2019-11-05,12,8,bad
309,2019-11-06,13,7,not good not bad
310,2019-11-07,11,5,very bad
311,2019-11-08,11,5,very bad
312,2019-11-09,10,5,very bad
313,2019-11-10,11,5,very bad
314,2019-11-11,11,7,bad
315,2019-11-12,11,6,bad
316,2019-11-13,9,4,very bad
317,2019-11-14,11,5,very bad
318,2019-11-15,8,2,very bad
319,2019-11-16,9,5,very bad
320,2019-11-17,8,3,very bad
321,2019-11-18,10,3,very bad
322,2019-11-19,9,4,very bad
323,2019-11-20,7,2,very bad
324,2019-11-21,11,5,very bad
325,2019-11-22,10,5,very bad
326,2019-11-23,12,7,bad
327,2019-11-24,12,3,very bad
328,2019-11-25,13,11,bad
329,2019-11-26,14,10,bad
330,2019-11-27,13,11,bad
331,2019-11-28,13,6,bad
332,2019-11-29,13,8,not good not bad
333,2019-11-30,9,7,bad
334,2019-12-01,7,3,very bad
335,2019-12-02,7,1,very bad
336,2019-12-03,7,1,very bad
337,2019-12-04,8,0,very bad
338,2019-12-05,7,1,very bad
339,2019-12-06,11,3,very bad
340,2019-12-07,13,10,bad
341,2019-12-08,13,10,bad
342,2019-12-09,11,6,bad
343,2019-12-10,11,4,very bad
344,2019-12-11,9,5,very bad
345,2019-12-12,12,5,very bad
346,2019-12-13,10,2,very bad
347,2019-12-14,12,7,bad
348,2019-12-15,10,4,very bad
349,2019-12-16,11,4,very bad
350,2019-12-17,12,7,bad
351,2019-12-18,12,7,bad
352,2019-12-19,13,11,very bad
353,2019-12-20,12,7,very bad
354,2019-12-21,11,9,very bad
355,2019-12-22,10,4,very bad
356,2019-12-23,10,5,very bad
357,2019-12-24,14,9,very bad
358,2019-12-25,11,8,bad
359,2019-12-26,12,5,very bad
360,2019-12-27,13,10,not good not bad
361,2019-12-28,11,5,very bad
362,2019-12-29,9,2,very bad
363,2019-12-30,12,4,very bad
364,2019-12-31,10,4,very bad
